,FundCode,类型
743,1234,货币型
744,1235,债券型
745,1236,股票型
746,1239,混合型
747,1240,货币型
748,1244,混合型
749,1245,股票型
750,1247,混合型
751,1249,混合型
752,1250,混合型
753,1251,货币型
754,1252,混合型
755,1254,混合型
756,1255,混合型
757,1256,混合型
758,1257,债券型
759,1258,债券型
760,1261,混合型
761,1264,混合型
762,1265,混合型
763,1266,混合型
764,1267,混合型
765,1268,混合型
766,1270,混合型
767,1271,混合型
768,1272,混合型
769,1273,混合型
770,1274,混合型
771,1275,混合型
772,1276,混合型
773,1277,股票型
774,1278,混合型
775,1279,混合型
776,1280,混合型
777,1281,混合型
778,1282,混合型
779,1283,混合型
780,1284,混合型
781,1285,混合型
782,1286,混合型
783,1287,混合型
784,1291,股票型
785,1294,混合型
786,1296,混合型
787,1297,混合型
788,1298,混合型
789,1299,债券型
790,1300,混合型
791,1301,混合型
792,1302,混合型
793,1303,混合型
794,1304,混合型
795,1305,混合型
796,1306,混合型
797,1307,混合型
798,1308,货币型
799,1309,混合型
800,1311,混合型
801,1312,混合型
802,1313,股票型
803,1314,混合型
804,1315,混合型
805,1316,混合型
806,1318,混合型
807,1319,股票型
808,1320,混合型
809,1322,混合型
810,1323,混合型
811,1324,混合型
812,1325,混合型
813,1326,混合型
814,1330,混合型
815,1331,混合型
816,1332,混合型
817,1334,混合型
818,1335,混合型
819,1336,混合型
820,1337,混合型
821,1338,混合型
822,1339,混合型
823,1342,混合型
824,1343,混合型
825,1345,混合型
826,1347,混合型
827,1348,混合型
828,1349,混合型
829,1352,混合型
830,1355,混合型
831,1356,混合型
832,1357,混合型
833,1358,混合型
834,1359,混合型
835,1362,混合型
836,1363,混合型
837,1364,混合型
838,1365,混合型
839,1366,混合型
840,1367,债券型
841,1370,混合型
842,1371,混合型
843,1373,混合型
844,1374,货币型
845,1375,混合型
846,1376,混合型
847,1379,混合型
848,1381,混合型
849,1382,混合型
850,1384,混合型
851,1385,混合型
852,1386,货币型
853,1387,混合型
854,1388,混合型
855,1391,货币型
856,1392,混合型
857,1393,混合型
858,1396,股票型
859,1398,混合型
860,1399,混合型
861,1400,混合型
862,1401,货币型
863,1402,混合型
864,1403,混合型
865,1404,股票型
866,1405,混合型
867,1406,混合型
868,1407,混合型
869,1408,混合型
870,1409,股票型
871,1410,股票型
872,1411,混合型
873,1412,混合型
874,1413,混合型
875,1414,混合型
876,1415,混合型
877,1416,股票型
