,FundCode,Sim1,name,type,Sim2
6258,7831,BDWBZHGPA,博道伍佰智航股票A,股票型,BODAOWUBAIZHIHANGGUPIAOA
6259,7832,BDWBZHGPC,博道伍佰智航股票C,股票型,BODAOWUBAIZHIHANGGUPIAOC
6260,7841,DFZYSNDKZQ,东方卓越三年定开债券,定开债券,DONGFANGZHUOYUESANNIANDINGKAIZHAIQUAN
6261,7850,FZFBTRHHA,方正富邦天睿混合A,混合型,FANGZHENGFUBANGTIANRUIHUNHEA
6262,7851,FZFBTRHHC,方正富邦天睿混合C,混合型,FANGZHENGFUBANGTIANRUIHUNHEC
6263,7858,PHFDJZXFQSHB,鹏华浮动净值型发起式货币,货币型,PENGHUAFUDONGJINGZHIXINGFAQISHIHUOBI
6264,7859,PA510NQZCXJRZA,平安5-10年期政策性金融债A,债券型,PINGAN510NIANQIZHENGCEXINGJINRONGZHAIA
6265,7860,PA510NQZCXJRZC,平安5-10年期政策性金融债C,债券型,PINGAN510NIANQIZHENGCEXINGJINRONGZHAIC
6266,7866,CJHXHBC,创金合信货币C,货币型,CHUANGJINHEXINHUOBIC
6267,7867,HTBRJTYNDK,华泰柏瑞锦泰一年定开,定开债券,HUATAIBAIRUIJINTAIYINIANDINGKAI
6268,7870,PHZX3GYDKFQSZQ,鹏华尊信3个月定开发起式债券,定开债券,PENGHUAZUNXIN3GEYUEDINGKAIFAQISHIZHAIQUAN
6269,7882,YFDHS300FYLJC,易方达沪深300非银联接C,联接基金,YIFANGDAHUSHEN300FEIYINLIANJIEC
6270,7883,YFDHS300YYLJC,易方达沪深300医药联接C,联接基金,YIFANGDAHUSHEN300YIYAOLIANJIEC
6271,20001,GTJYZZHH,国泰金鹰增长混合,混合型,GUOTAIJINYINGZENGZHANGHUNHE
6272,20002,GTJLZQA,国泰金龙债券A,债券型,GUOTAIJINLONGZHAIQUANA
6273,20003,GTJLHYHH,国泰金龙行业混合,混合型,GUOTAIJINLONGHANGYEHUNHE
6274,20005,GTJMWJHH,国泰金马稳健混合,混合型,GUOTAIJINMAWENJIANHUNHE
6275,20007,GTHB,国泰货币,货币型,GUOTAIHUOBI
6276,20009,GTJPLCHH,国泰金鹏蓝筹混合,混合型,GUOTAIJINPENGLANCHOUHUNHE
6277,20010,GTJNCXCZHH,国泰金牛创新成长混合,混合型,GUOTAIJINNIUCHUANGXINCHENGZHANGHUNHE
6278,20011,GTHS300ZSA,国泰沪深300指数A,股票指数,GUOTAIHUSHEN300ZHISHUA
6279,20012,GTJLZQC,国泰金龙债券C,债券型,GUOTAIJINLONGZHAIQUANC
6280,20015,GTQWYSHH,国泰区位优势混合,混合型,GUOTAIQUWEIYOUSHIHUNHE
6281,20018,GTJLHH,国泰金鹿混合,混合型,GUOTAIJINLUHUNHE
6282,20019,GTSLZQA,国泰双利债券A,债券型,GUOTAISHUANGLIZHAIQUANA
6283,20020,GTSLZQC,国泰双利债券C,债券型,GUOTAISHUANGLIZHAIQUANC
6284,20021,GTSZ180JRETFLJ,国泰上证180金融ETF联接,联接基金,GUOTAISHANGZHENG180JINRONGETFLIANJIE
6285,20022,GTCLJZLHPZHH,国泰策略价值灵活配置混合,混合型,GUOTAICELUEJIAZHILINGHUOPEIZHIHUNHE
6286,20023,GTSJQDCLHH,国泰事件驱动策略混合,混合型,GUOTAISHIJIANQUDONGCELUEHUNHE
6287,20026,GTCZYXHH,国泰成长优选混合,混合型,GUOTAICHENGZHANGYOUXUANHUNHE
6288,20031,GTXJGLHBA,国泰现金管理货币A,货币型,GUOTAIXIANJINGUANLIHUOBIA
6289,20032,GTXJGLHBB,国泰现金管理货币B,货币型,GUOTAIXIANJINGUANLIHUOBIB
6290,20033,GTMAZLZQA,国泰民安增利债券A,债券型,GUOTAIMINANZENGLIZHAIQUANA
6291,20034,GTMAZLZQC,国泰民安增利债券C,债券型,GUOTAIMINANZENGLIZHAIQUANC
6292,40001,HACXHH,华安创新混合,混合型,HUAANCHUANGXINHUNHE
6293,40002,HAZGAGZQZS,华安中国A股增强指数,股票指数,HUAANZHONGGUOAGUZENGQIANGZHISHU
6294,40003,HAXJFLHBA,华安现金富利货币A,货币型,HUAANXIANJINFULIHUOBIA
6295,40004,HABLPZHH,华安宝利配置混合,混合型,HUAANBAOLIPEIZHIHUNHE
6296,40005,HAHLHH,华安宏利混合,混合型,HUAANHONGLIHUNHE
6297,40007,HAZXPCZHH,华安中小盘成长混合,混合型,HUAANZHONGXIAOPANCHENGZHANGHUNHE
6298,40008,HACLYXHH,华安策略优选混合,混合型,HUAANCELUEYOUXUANHUNHE
6299,40009,HAWDSYZQA,华安稳定收益债券A,债券型,HUAANWENDINGSHOUYIZHAIQUANA
6300,40010,HAWDSYZQB,华安稳定收益债券B,债券型,HUAANWENDINGSHOUYIZHAIQUANB
6301,40011,HAHXYXHH,华安核心优选混合,混合型,HUAANHEXINYOUXUANHUNHE
6302,40012,HAQHSYZQA,华安强化收益债券A,债券型,HUAANQIANGHUASHOUYIZHAIQUANA
6303,40013,HAQHSYZQB,华安强化收益债券B,债券型,HUAANQIANGHUASHOUYIZHAIQUANB
6304,40015,HADTLHPZHH,华安动态灵活配置混合,混合型,HUAANDONGTAILINGHUOPEIZHIHUNHE
6305,40016,HAHYLDHH,华安行业轮动混合,混合型,HUAANHANGYELUNDONGHUNHE
6306,40018,HAXGJXGPQDII,华安香港精选股票(QDII),QDII,HUAANXIANGGANGJINGXUANGUPIAOQDII
6307,40019,HAWGSYZQC,华安稳固收益债券C,债券型,HUAANWENGUSHOUYIZHAIQUANC
6308,40020,HASJZTHH,华安升级主题混合,混合型,HUAANSHENGJIZHUTIHUNHE
6309,40021,HADZHSJGP,华安大中华升级股票,QDII,HUAANDAZHONGHUASHENGJIGUPIAO
6310,40022,HAKZZZQA,华安可转债债券A,债券型,HUAANKEZHUANZHAIZHAIQUANA
6311,40023,HAKZZZQB,华安可转债债券B,债券型,HUAANKEZHUANZHAIZHAIQUANB
6312,40025,HAKJDLHH,华安科技动力混合,混合型,HUAANKEJIDONGLIHUNHE
6313,40026,HAXYSJHZQA,华安信用四季红债券A,债券型,HUAANXINYONGSIJIHONGZHAIQUANA
6314,40027,HAYYXDQLCZQA,华安月月鑫短期理财债券A,理财型,HUAANYUEYUEXINDUANQILICAIZHAIQUANA
6316,40029,HAYYXDQLCZQB,华安月月鑫短期理财债券B,理财型,HUAANYUEYUEXINDUANQILICAIZHAIQUANB
6317,40030,HAJJXDQLCZQA,华安季季鑫短期理财债券A,理财型,HUAANJIJIXINDUANQILICAIZHAIQUANA
6318,40031,HAJJXDQLCZQB,华安季季鑫短期理财债券B,理财型,HUAANJIJIXINDUANQILICAIZHAIQUANB
6319,40032,HAYAXDQLCZQA,华安月安鑫短期理财债券A,理财型,HUAANYUEANXINDUANQILICAIZHAIQUANA
6321,40034,HAYAXDQLCZQB,华安月安鑫短期理财债券B,理财型,HUAANYUEANXINDUANQILICAIZHAIQUANB
6322,40035,HANXCLHH,华安逆向策略混合,混合型,HUAANNIXIANGCELUEHUNHE
6323,40036,HAAXSYZQA,华安安心收益债券A,债券型,HUAANANXINSHOUYIZHAIQUANA
6324,40037,HAAXSYZQB,华安安心收益债券B,债券型,HUAANANXINSHOUYIZHAIQUANB
6325,40038,HARRXHBA,华安日日鑫货币A,货币型,HUAANRIRIXINHUOBIA
6326,40039,HARRXHBB,华安日日鑫货币B,货币型,HUAANRIRIXINHUOBIB
6327,40040,HACZZQA,华安纯债债券A,债券型,HUAANCHUNZHAIZHAIQUANA
6328,40041,HACZZQC,华安纯债债券C,债券型,HUAANCHUNZHAIZHAIQUANC
6329,40045,HATXZDZA,华安添鑫中短债A,债券型,HUAANTIANXINZHONGDUANZHAIA
6330,40046,HANSDK100ZS,华安纳斯达克100指数,QDII-指数,HUAANNASIDAKE100ZHISHU
