FundCode,类型,近1月收益,近1年收益,近3年收益,风险等级,基金规模
005827,0.9433560545187311,2.1022678073376624,,,0.3985880799459038,0.04604353385514718
005708,0.9433560545187311,-0.2870187564374165,0.25010040362234537,,0.3985880799459038,-0.09305855035184156
005008,-0.7928690268078797,-0.5393193439532642,-0.2704916091837159,,,-0.10219756358700847
004792,-0.7928690268078797,-0.7209757669646747,-1.1496370612734221,,-1.5076327526676696,0.08058270111632969
005374,0.9433560545187311,-0.032195163046410215,-0.4799350845344988,,0.3985880799459038,-0.10698766707578561
005939,0.9433560545187311,0.386623812229897,,,0.3985880799459038,-0.10679858404333387
005366,-0.7928690268078797,-0.7714358844678442,-0.6006021073703408,,1.3516984962526906,0.028521839514620277
005307,-0.7928690268078797,-0.7007917199634068,-0.6979976329449847,,1.3516984962526906,-0.10780702688307642
005119,0.9433560545187311,0.4143768768566404,1.368856086771795,,0.3985880799459038,-0.10547500281617178
005284,-0.7928690268078797,0.04097200733318564,-0.6954119110270739,,0.3985880799459038,-0.09633598958100487
005517,0.9433560545187311,-0.516612291076838,-1.365113887765997,,0.3985880799459038,-0.10163031448965329
005865,0.9433560545187311,0.8104887992565212,,,0.3985880799459038,-0.10610527959101086
005098,0.07524351385542564,-0.7689128785926858,-0.7591930516688761,,,-0.09545360209623013
005362,-0.7928690268078797,-0.7739588903430027,,,,-0.06141865625491888
006505,-0.7928690268078797,-0.7840509138436366,,,,-0.04339274049452071
673143,0.9433560545187311,-0.7739588903430027,-0.004162251638893166,,0.3985880799459038,-0.10698766707578561
006681,-0.7928690268078797,-0.7588208550920519,,,,0.004130128328347211
005535,0.9433560545187311,-1.520768629389912,0.8663641273911101,,0.3985880799459038,-0.10219756358700847
005940,0.9433560545187311,0.3790547946044217,,,0.3985880799459038,-0.10698766707578561
004793,-0.7928690268078797,-0.7209757669646747,-1.1565323197211843,,-1.5076327526676696,-0.1075549161731408
006090,-0.7928690268078797,-0.7840509138436366,-0.6721404137658757,,-1.5076327526676696,-0.09816379222803825
