,FundCode,类型,近1月收益,近1年收益,近3年收益,风险等级,基金规模
1240,005971,债券型,0.42%,--,--,无,12.31亿元
1241,004561,混合型,0.90%,0.64%,--,中高风险,1.16亿元
1242,005585,混合型,-1.09%,33.16%,--,中高风险,0.46亿元
1243,005438,混合型,0.55%,7.90%,--,中高风险,0.05亿元
1244,004720,混合型,0.67%,6.21%,--,无,1.21亿元
1245,006525,股票指数,0.82%,--,--,高风险,0.11亿元
1246,673143,混合型,0.03%,11.80%,--,中高风险,0.14亿元
1247,005532,债券型,0.52%,4.85%,--,无,0.00亿元
1248,005039,混合型,1.46%,16.09%,--,中高风险,2.78亿元
1249,006101,混合型,4.92%,48.99%,--,中高风险,0.44亿元
1250,005445,混合型,0.58%,13.06%,--,中高风险,6.99亿元
1251,006027,债券型,0.56%,--,--,无,60.85亿元
1252,005607,股票指数,0.84%,-0.42%,--,高风险,0.28亿元
1253,004851,股票型,10.11%,28.57%,--,高风险,4.32亿元
1254,005690,债券型,0.51%,--,--,中低风险,20.18亿元
1255,005492,混合型,5.23%,17.79%,--,中高风险,4.67亿元
1256,004721,混合型,0.64%,5.89%,--,无,0.02亿元
1257,006104,混合型,0.07%,5.11%,--,中高风险,0.04亿元
1258,005703,债券型,0.44%,5.77%,--,无,51.46亿元
1259,005040,混合型,1.42%,15.71%,--,中高风险,0.25亿元
1260,006625,债券型,0.12%,--,--,中低风险,0.06亿元
1261,005920,债券型,0.65%,5.92%,--,无,23.80亿元
1262,004967,货币型,0.16%,2.60%,--,低风险,0.68亿元
1263,006343,股票指数,0.76%,--,--,高风险,0.15亿元
1264,004763,混合型,0.13%,-1.01%,--,中高风险,0.45亿元
1265,005608,股票指数,0.81%,-0.80%,--,高风险,0.14亿元
1266,006344,股票指数,0.73%,--,--,高风险,0.00亿元
1267,004978,债券型,0.32%,6.50%,--,无,10.32亿元
1268,005668,混合型,5.30%,7.66%,--,中高风险,4.80亿元
1269,006172,债券型,0.42%,4.19%,--,无,21.18亿元
1270,003458,债券型,2.74%,11.24%,--,无,0.35亿元
1271,005076,混合型,-0.95%,7.29%,--,中高风险,1.69亿元
1272,004856,股票指数,-3.63%,5.54%,--,高风险,0.21亿元
1273,004764,混合型,0.06%,-1.11%,--,中高风险,0.03亿元
1274,005704,债券型,0.42%,5.46%,--,无,0.00亿元
1275,006531,混合型,-0.31%,--,--,中高风险,0.00亿元
1276,004983,货币型,0.18%,2.51%,--,低风险,0.47亿元
1277,006173,债券型,0.38%,3.76%,--,无,0.00亿元
1278,003459,债券型,2.73%,10.90%,--,无,0.12亿元
1279,004900,混合型,2.95%,14.33%,--,中高风险,0.64亿元
1280,005706,混合型,1.44%,14.14%,--,中高风险,1.94亿元
1281,005872,债券型,0.32%,4.02%,--,中低风险,27.41亿元
1282,168002,混合型,3.13%,26.38%,--,中高风险,0.83亿元
1283,004857,股票指数,-3.60%,5.82%,--,高风险,0.54亿元
1284,004798,混合型,0.27%,2.14%,--,中高风险,0.57亿元
1285,006532,混合型,-1.00%,--,--,中高风险,0.01亿元
1286,000606,债券型,0.60%,5.25%,--,中低风险,78.05亿元
1287,006331,债券型,0.79%,6.33%,--,无,0.30亿元
1288,501036,股票指数,0.94%,2.07%,--,高风险,2.38亿元
1289,005742,混合型,5.15%,16.04%,--,中高风险,1.54亿元
1290,004901,混合型,2.93%,14.11%,--,中高风险,0.07亿元
1291,004351,混合型,1.99%,6.83%,--,中高风险,1.77亿元
1292,004985,货币型,0.20%,2.29%,--,低风险,0.53亿元
1293,006043,债券型,0.55%,5.35%,--,无,60.50亿元
1294,002289,股票型,7.67%,33.13%,--,高风险,2.67亿元
1295,005729,混合型,4.45%,--,--,中高风险,0.64亿元
1296,005055,混合型,-0.98%,4.31%,--,中高风险,19.16亿元
1297,004427,债券型,2.38%,10.48%,--,中风险,0.21亿元
1298,005936,债券型,0.79%,6.55%,--,中低风险,2.09亿元
1299,005123,混合型,0.86%,13.05%,--,中高风险,30.00亿元
1300,001790,股票型,-0.50%,-2.57%,--,高风险,9.42亿元
1301,501037,股票指数,0.90%,1.81%,--,高风险,1.30亿元
1302,005062,股票指数,3.25%,10.61%,--,高风险,1.56亿元
1303,005442,债券型,0.50%,4.49%,--,无,20.47亿元
1304,006044,债券型,0.53%,5.19%,--,无,0.00亿元
1305,006443,债券型,0.63%,--,--,无,10.15亿元
1306,005849,债券型,0.59%,6.32%,--,无,5.51亿元
1307,004428,债券型,2.40%,10.12%,--,中风险,0.03亿元
1308,005990,债券型,0.79%,6.54%,--,中低风险,0.11亿元
1309,002258,混合型,3.16%,19.42%,--,中高风险,1.60亿元
1310,005169,混合型,4.72%,12.44%,--,中高风险,0.26亿元
1311,003760,股票指数,-1.19%,15.60%,--,高风险,0.01亿元
1312,005648,债券型,0.60%,5.18%,--,无,87.31亿元
1313,006088,债券型,0.48%,4.92%,--,无,36.61亿元
1314,003926,债券型,0.52%,5.58%,--,中低风险,18.64亿元
1315,004951,混合型,0.12%,19.69%,--,中高风险,1.05亿元
1316,006444,债券型,0.60%,--,--,无,0.00亿元
1317,005170,混合型,4.68%,12.03%,--,中高风险,0.02亿元
1318,004532,股票指数,-5.31%,-12.17%,--,高风险,0.10亿元
1319,005951,债券型,0.40%,5.05%,--,无,97.01亿元
1320,006089,债券型,0.45%,4.86%,--,无,0.00亿元
1321,003761,股票指数,-1.63%,14.68%,--,高风险,0.03亿元
1322,005885,股票型,2.61%,38.68%,--,高风险,1.68亿元
1323,002218,债券型,0.96%,9.54%,9.33%,无,20.42亿元
1324,004996,股票指数,-5.05%,-8.19%,--,高风险,0.19亿元
1325,005280,混合型,1.93%,0.65%,--,中低风险,1.52亿元
1326,006135,债券型,0.79%,4.61%,--,无,10.24亿元
1327,003927,债券型,0.49%,5.48%,--,中低风险,0.11亿元
1328,006505,债券型,0.47%,--,--,无,10.23亿元
1329,005049,混合型,11.77%,31.51%,--,中高风险,0.27亿元
1330,002219,债券型,0.96%,9.54%,9.33%,无,0.00亿元
1331,004040,股票型,8.58%,16.43%,--,高风险,0.07亿元
1332,004533,股票指数,-5.33%,-12.38%,--,高风险,0.08亿元
1333,005378,债券型,0.69%,5.65%,--,无,70.61亿元
1334,005050,混合型,11.78%,31.46%,--,中高风险,0.26亿元
1335,006145,债券型,0.59%,48.75%,--,中低风险,63.01亿元
1336,003751,混合型,-2.27%,11.46%,--,无,0.09亿元
1337,005952,债券型,0.39%,4.61%,--,无,0.00亿元
1338,003337,债券型,0.55%,5.74%,--,无,20.65亿元
1339,004041,股票型,8.47%,15.40%,--,高风险,0.09亿元
1340,006506,债券型,0.45%,--,--,无,0.00亿元
1341,004585,债券型,0.92%,7.97%,--,中风险,47.06亿元
1342,004573,混合型,-1.53%,4.06%,--,中高风险,0.40亿元
1343,501303,股票指数,-5.02%,-7.83%,--,高风险,0.50亿元
1344,005209,股票型,2.16%,9.92%,--,高风险,1.95亿元
1345,005274,混合型,2.14%,14.80%,--,中高风险,2.34亿元
1346,006146,债券型,0.59%,48.65%,--,中低风险,28.83亿元
1347,004405,混合型,1.63%,8.07%,--,无,4.10亿元
1348,004586,债券型,0.89%,7.54%,--,中风险,0.98亿元
1349,003338,债券型,0.55%,-0.15%,--,无,0.00亿元
1350,004677,混合型,3.91%,27.71%,--,中高风险,0.29亿元
1351,005862,债券型,0.57%,--,--,无,6.74亿元
1352,006068,债券型,0.40%,4.55%,--,无,7.77亿元
1353,005732,混合型,4.16%,20.33%,--,中高风险,0.60亿元
1354,004406,混合型,1.62%,7.94%,--,无,0.00亿元
1355,001879,股票指数,2.51%,20.25%,--,高风险,0.62亿元
1356,519632,债券型,0.36%,3.94%,--,无,2.51亿元
1357,005289,债券型,0.71%,8.66%,--,无,10.26亿元
1358,006475,债券型,0.31%,--,--,无,35.07亿元
1359,005210,股票型,2.12%,9.37%,--,高风险,0.26亿元
1360,005435,债券型,0.45%,3.98%,--,无,17.40亿元
1361,006069,债券型,0.41%,4.64%,--,无,0.00亿元
1362,004549,混合型,3.53%,32.62%,--,中高风险,1.30亿元
1363,004737,混合型,0.94%,3.11%,--,中高风险,0.24亿元
1364,003932,债券指数,0.54%,5.61%,--,中低风险,0.56亿元
1365,001884,混合型,0.81%,13.91%,22.33%,无,0.01亿元
1366,005962,股票型,8.06%,33.98%,--,高风险,0.33亿元
1367,002885,混合型,-2.13%,-2.79%,--,中高风险,0.46亿元
1368,164825,股票指数,-5.45%,-4.29%,--,高风险,0.01亿元
1369,002472,混合型,0.48%,-8.76%,--,中高风险,1.36亿元
1370,004849,货币型,0.18%,2.35%,--,低风险,0.00亿元
1371,006462,混合型,3.92%,--,--,中高风险,1.35亿元
1372,006071,债券型,0.28%,3.41%,--,无,22.97亿元
1373,003933,债券指数,0.53%,6.01%,--,中低风险,0.00亿元
1374,005632,混合型,0.33%,9.53%,--,中高风险,0.18亿元
1375,004222,债券型,6.85%,4.66%,--,中风险,0.03亿元
1376,004747,混合型,0.89%,2.54%,--,中高风险,0.29亿元
1377,005963,股票型,7.98%,32.90%,--,高风险,0.27亿元
1378,004571,债券型,0.93%,8.26%,--,中风险,0.49亿元
1379,005410,债券型,0.78%,6.67%,--,无,30.50亿元
1380,004604,混合型,0.47%,28.46%,--,中高风险,0.13亿元
1381,006463,混合型,0.20%,--,--,中高风险,0.65亿元
1382,004885,债券型,1.03%,9.16%,--,中风险,0.67亿元
1383,005418,混合型,1.67%,4.27%,--,中高风险,1.66亿元
1384,004402,债券型,6.81%,4.21%,--,中风险,0.05亿元
1385,006340,债券型,0.30%,2.54%,--,中低风险,0.01亿元
1386,003746,债券型,0.59%,6.56%,--,无,58.78亿元
1387,004572,债券型,0.89%,7.83%,--,中风险,0.02亿元
1388,004605,混合型,0.42%,27.99%,--,中高风险,0.01亿元
1389,004740,混合型,1.78%,32.85%,--,无,0.07亿元
1390,004807,债券型,0.88%,7.37%,--,中风险,1.19亿元
1391,003069,股票型,4.41%,13.07%,--,高风险,5.47亿元
1392,005603,混合型,-0.36%,--,--,中高风险,2.15亿元
1393,005745,债券型,0.62%,4.41%,--,无,10.44亿元
1394,004988,混合型,0.36%,2.82%,--,中高风险,0.54亿元
1395,005790,债券型,0.57%,6.37%,--,无,35.85亿元
1396,004952,债券型,2.42%,7.91%,--,中风险,9.28亿元
1397,006085,混合型,-0.52%,33.39%,--,中高风险,0.03亿元
1398,004050,混合型,0.72%,10.09%,--,无,1.06亿元
1399,004854,股票指数,-1.49%,1.68%,--,高风险,0.24亿元
1400,004808,债券型,0.84%,7.62%,--,中风险,0.12亿元
1401,005604,混合型,-0.42%,--,--,中高风险,0.06亿元
1402,004710,混合型,0.90%,10.48%,--,无,2.11亿元
1403,003197,债券型,1.09%,5.78%,--,中风险,4.23亿元
1404,002452,债券型,0.59%,15.22%,26.47%,无,51.52亿元
1405,004989,混合型,0.33%,2.42%,--,中高风险,0.21亿元
1406,160324,混合型,2.74%,21.04%,--,中高风险,1.75亿元
1407,005867,股票型,-0.91%,13.65%,--,无,0.01亿元
1408,005823,混合型,0.64%,8.63%,--,中高风险,1.77亿元
1409,004855,股票指数,-1.49%,1.67%,--,高风险,0.31亿元
1410,005655,债券型,0.53%,--,--,无,10.25亿元
1411,004502,货币型,0.19%,2.57%,--,无,0.48亿元
1412,003198,债券型,1.07%,6.53%,--,中风险,2.94亿元
1413,004907,债券型,1.29%,2.18%,--,中低风险,0.01亿元
1414,005051,股票指数,-7.93%,-9.51%,--,高风险,4.15亿元
1415,166023,混合型,1.83%,33.51%,--,无,13.15亿元
1416,002424,混合型,5.12%,23.57%,--,中高风险,0.26亿元
1417,006048,股票指数,1.27%,1.73%,--,高风险,0.83亿元
1418,004790,股票指数,1.24%,-2.06%,--,高风险,0.01亿元
1419,005878,混合型,2.37%,16.21%,--,中高风险,0.01亿元
1420,004717,货币型,0.20%,2.90%,--,低风险,70.94亿元
1421,003009,债券型,0.81%,5.22%,--,中风险,0.51亿元
1422,005826,股票型,2.36%,--,--,高风险,0.78亿元
1423,005824,混合型,0.59%,8.22%,--,中高风险,0.22亿元
1424,004182,混合型,-0.34%,2.61%,--,中高风险,0.29亿元
1425,005407,债券型,0.74%,7.19%,--,无,20.57亿元
1426,004908,债券型,1.28%,2.83%,--,中低风险,0.01亿元
1427,005484,混合型,-0.95%,3.89%,--,中高风险,0.60亿元
1428,005052,股票指数,-7.96%,-9.90%,--,高风险,0.04亿元
1429,005825,股票型,6.72%,28.69%,--,高风险,0.51亿元
1430,004558,混合型,7.49%,4.77%,--,中高风险,0.88亿元
1431,003010,债券型,0.80%,4.97%,--,中风险,0.44亿元
1432,675100,债券型,0.97%,6.63%,--,中低风险,2.41亿元
1433,004227,混合型,0.53%,3.98%,--,中高风险,0.10亿元
1434,004794,混合型,-1.45%,-1.98%,--,中高风险,0.30亿元
1435,003040,债券型,0.29%,4.12%,--,中低风险,0.78亿元
1436,005769,混合型,1.85%,12.51%,--,中高风险,4.36亿元
1437,004970,货币型,0.20%,2.71%,--,低风险,92.00亿元
1438,005485,债券型,0.84%,7.22%,--,无,10.28亿元
1439,004228,混合型,0.49%,3.93%,--,中高风险,0.25亿元
1440,003852,债券型,-0.24%,-7.45%,--,中低风险,0.00亿元
1441,005845,债券型,0.51%,4.61%,--,无,41.46亿元
1442,004559,混合型,7.49%,13.33%,--,中高风险,0.00亿元
1443,003132,混合型,2.15%,15.60%,--,中高风险,1.66亿元
1444,005329,混合型,0.26%,6.39%,--,中高风险,4.30亿元
1445,003025,混合型,3.59%,23.85%,--,中高风险,0.95亿元
1446,004971,货币型,0.22%,2.96%,--,低风险,1.58亿元
1447,004468,混合型,-0.39%,2.00%,--,中高风险,0.20亿元
1448,003787,债券型,0.26%,5.40%,--,中低风险,6.83亿元
1449,005761,股票指数,-0.49%,13.11%,--,高风险,20.86亿元
1450,004032,债券型,0.77%,3.80%,--,无,41.12亿元
1451,005903,混合型,5.71%,26.57%,--,中高风险,0.82亿元
1452,004897,债券型,1.27%,1.14%,--,中低风险,0.03亿元
1453,004357,混合型,-0.92%,23.49%,--,中高风险,4.02亿元
1454,004987,混合型,-0.76%,1.24%,--,中高风险,1.38亿元
1455,003407,债券型,0.43%,5.49%,--,中低风险,106.95亿元
1456,519782,债券型,0.76%,6.09%,--,中低风险,6.64亿元
1457,005992,债券型,0.26%,3.48%,--,中低风险,26.80亿元
1458,004481,混合型,-2.38%,-9.16%,--,中高风险,0.44亿元
1459,003788,债券型,0.25%,7.04%,--,中低风险,0.05亿元
1460,005762,股票指数,-0.53%,12.54%,--,高风险,3.16亿元
1461,501101,债券指数,0.23%,3.95%,--,中低风险,0.12亿元
1462,004366,债券型,0.62%,4.43%,--,中低风险,19.73亿元
1463,004359,混合型,-0.05%,14.20%,--,中高风险,0.55亿元
1464,004898,债券型,1.26%,2.29%,--,中低风险,0.03亿元
1465,005993,债券型,0.22%,3.07%,--,中低风险,7.46亿元
1466,005369,债券型,0.77%,7.45%,--,无,30.93亿元
1467,003408,债券型,0.39%,5.07%,--,中低风险,0.30亿元
1468,004514,混合型,0.71%,12.79%,--,中高风险,0.25亿元
1469,519783,债券型,0.73%,5.86%,--,中低风险,1.01亿元
1470,501105,债券指数,1.05%,7.77%,--,中低风险,0.78亿元
1471,004367,债券型,0.59%,5.59%,--,中低风险,0.00亿元
1472,003886,混合型,5.70%,-5.61%,--,中高风险,0.00亿元
1473,004360,混合型,-0.12%,13.31%,--,中高风险,0.32亿元
1474,004699,货币型,0.24%,2.72%,--,低风险,0.16亿元
1475,005476,债券型,0.59%,6.36%,--,无,6.43亿元
1476,005436,债券型,0.84%,6.46%,--,无,20.40亿元
1477,004910,债券型,0.65%,5.17%,--,无,12.72亿元
1478,003637,债券型,0.79%,7.82%,--,中风险,0.03亿元
1479,003517,债券型,0.72%,5.67%,--,无,7.19亿元
1480,001530,混合型,-0.29%,7.48%,--,无,3.11亿元
1481,004205,混合型,-4.23%,-15.08%,--,中高风险,0.24亿元
1482,002405,债券型,1.82%,5.84%,--,中低风险,3.02亿元
1483,003638,债券型,0.76%,7.49%,--,中风险,0.27亿元
1484,003887,混合型,5.81%,-4.97%,--,中高风险,1.22亿元
1485,002023,混合型,2.04%,24.59%,--,中高风险,0.01亿元
1486,150968,混合型,5.74%,23.87%,--,中高风险,8.19亿元
1487,005820,债券型,1.11%,6.65%,--,无,20.56亿元
1488,005525,债券型,0.63%,6.17%,--,无,51.76亿元
1489,003670,混合型,1.30%,-10.61%,--,中高风险,0.36亿元
1490,004423,混合型,4.66%,25.07%,--,中高风险,0.27亿元
1491,004039,货币型,0.22%,2.88%,--,低风险,139.38亿元
1492,003413,混合型,0.02%,13.36%,--,中高风险,0.14亿元
1493,004869,货币型,0.22%,3.03%,--,低风险,8.05亿元
1494,003889,混合型,5.48%,52.67%,--,无,1.81亿元
1495,002024,混合型,1.40%,11.06%,--,中高风险,2.46亿元
1496,005828,债券型,0.77%,6.66%,--,无,3.20亿元
1497,003520,债券型,0.38%,5.07%,--,中低风险,23.33亿元
1498,002406,债券型,1.77%,5.42%,--,中低风险,0.15亿元
1499,002602,混合型,3.45%,11.58%,--,中高风险,0.77亿元
1500,005489,混合型,1.00%,12.73%,--,中高风险,0.44亿元
1501,162717,混合型,4.19%,20.02%,--,中高风险,0.98亿元
1502,003521,债券型,0.35%,5.69%,--,中低风险,0.01亿元
1503,001968,债券型,0.60%,4.24%,--,无,20.51亿元
1504,004230,债券型,0.56%,5.93%,--,无,41.88亿元
1505,005852,债券型,0.93%,6.57%,--,中风险,11.97亿元
1506,002968,混合型,4.36%,19.78%,--,中高风险,0.78亿元
1507,002620,混合型,3.10%,31.25%,--,中高风险,4.03亿元
1508,003680,债券型,1.14%,6.08%,--,中风险,0.13亿元
1509,003890,混合型,5.49%,49.69%,--,无,0.00亿元
1510,168106,混合型,-0.62%,0.99%,--,中高风险,0.14亿元
1511,003590,债券型,0.30%,3.97%,--,无,75.82亿元
1512,001969,债券型,0.57%,3.82%,--,无,0.10亿元
1513,004741,混合型,1.66%,-4.24%,--,中高风险,0.65亿元
1514,004335,混合型,1.83%,19.36%,--,无,1.23亿元
1515,003174,债券型,0.56%,5.44%,--,中低风险,31.05亿元
1516,005490,混合型,0.96%,12.14%,--,中高风险,0.14亿元
1517,004641,混合型,0.19%,9.94%,--,中高风险,0.81亿元
1518,168107,混合型,-0.66%,0.42%,--,中高风险,0.92亿元
1519,004136,债券型,0.34%,3.44%,--,中低风险,69.39亿元
1520,003723,债券型,1.09%,5.66%,--,中风险,0.00亿元
1521,001988,债券型,0.49%,5.22%,--,中低风险,25.92亿元
1522,005723,债券型,0.38%,5.99%,--,无,16.27亿元
1523,004786,货币型,0.17%,2.34%,--,低风险,0.26亿元
1524,003730,债券型,0.64%,6.31%,--,中低风险,10.69亿元
1525,002920,债券型,0.29%,4.12%,--,中低风险,39.93亿元
1526,005670,债券型,0.77%,8.37%,--,无,62.40亿元
1527,004210,货币型,0.22%,2.43%,--,低风险,0.01亿元
1528,001696,股票型,5.30%,14.52%,--,高风险,1.00亿元
1529,001989,债券型,0.46%,4.87%,--,中低风险,0.03亿元
1530,519332,债券型,0.59%,5.63%,--,无,97.43亿元
1531,004264,债券型,0.40%,5.34%,--,中低风险,2.06亿元
1532,003335,债券型,-0.05%,2.57%,--,中风险,0.49亿元
1533,003767,债券型,0.21%,3.70%,--,无,1.87亿元
1534,005701,混合型,-4.64%,-1.12%,--,中高风险,1.17亿元
1535,004920,债券型,0.73%,7.76%,--,中低风险,25.35亿元
1536,004374,混合型,7.88%,18.39%,--,中高风险,0.96亿元
1537,003561,混合型,0.07%,-1.87%,--,中高风险,3.40亿元
1538,004231,混合型,5.28%,18.76%,--,中高风险,0.22亿元
1539,519333,债券型,0.56%,5.25%,--,无,0.00亿元
1540,004185,货币型,0.18%,2.59%,--,低风险,0.03亿元
1541,003938,混合型,0.56%,5.99%,--,中高风险,0.30亿元
1542,003768,债券型,0.28%,3.50%,--,无,0.00亿元
1543,005738,混合型,6.96%,21.13%,--,中高风险,2.98亿元
1544,004375,混合型,7.87%,18.11%,--,中高风险,1.18亿元
1545,003416,股票型,0.01%,8.66%,--,高风险,0.19亿元
1546,003342,债券型,0.36%,3.14%,--,中低风险,0.17亿元
1547,004252,混合型,1.24%,9.92%,--,无,0.01亿元
1548,004774,混合型,2.60%,7.40%,--,中高风险,1.91亿元
1549,004232,混合型,-0.39%,4.25%,--,中高风险,2.13亿元
1550,004290,债券型,0.53%,5.22%,--,中低风险,1.16亿元
1551,003939,混合型,0.51%,5.35%,--,中高风险,0.22亿元
1552,003417,债券型,0.76%,7.25%,--,无,9.10亿元
1553,004282,货币型,0.22%,2.72%,--,低风险,46.40亿元
1554,005879,债券型,0.84%,6.54%,--,无,30.83亿元
1555,003425,债券型,0.61%,12.66%,--,中低风险,0.72亿元
1556,167702,股票型,-0.27%,12.44%,--,高风险,0.88亿元
1557,000632,债券型,1.63%,9.33%,14.81%,无,2.72亿元
1558,002906,股票指数,0.00%,2.80%,--,高风险,3.39亿元
1559,004233,混合型,3.85%,15.82%,--,中高风险,0.03亿元
1560,003643,债券型,0.34%,3.03%,--,中低风险,0.68亿元
1561,004398,货币型,0.21%,2.96%,--,低风险,16.58亿元
1562,003171,货币型,0.20%,1.75%,--,低风险,0.19亿元
1563,004120,货币型,0.23%,2.98%,--,低风险,65.19亿元
1564,002907,股票指数,-0.11%,2.33%,--,高风险,1.10亿元
1565,004291,债券型,0.52%,5.14%,--,中低风险,0.01亿元
1566,003426,债券型,0.54%,7.29%,--,中低风险,0.37亿元
1567,161038,混合型,-0.97%,5.69%,--,中高风险,4.49亿元
1568,167703,股票型,-0.28%,11.96%,--,高风险,0.38亿元
1569,004237,混合型,2.87%,31.35%,--,中高风险,0.24亿元
1570,001789,混合型,0.56%,9.85%,--,无,3.08亿元
1571,003795,债券型,0.31%,5.18%,--,中低风险,11.25亿元
1572,004702,混合型,-3.62%,24.97%,--,中高风险,0.40亿元
1573,003388,货币型,0.15%,1.92%,--,无,0.07亿元
1574,003259,债券型,0.66%,4.77%,--,中低风险,100.59亿元
1575,002180,混合型,7.45%,14.46%,--,中高风险,1.24亿元
1576,003428,债券型,0.66%,5.08%,--,无,10.04亿元
1577,002961,债券型,0.52%,5.86%,--,中风险,8.99亿元
1578,004429,混合型,7.00%,20.28%,--,中高风险,0.38亿元
1579,003796,债券型,0.31%,5.04%,--,中低风险,0.00亿元
1580,003389,货币型,0.16%,2.08%,--,无,0.27亿元
1581,168108,混合型,1.61%,18.21%,--,中高风险,1.40亿元
1582,004705,债券型,0.36%,6.84%,--,中低风险,8.20亿元
1583,002967,混合型,3.86%,36.45%,--,中高风险,1.77亿元
1584,004521,混合型,-1.61%,4.30%,--,中高风险,0.16亿元
1585,004450,股票型,3.79%,7.07%,--,高风险,33.97亿元
1586,003824,债券型,0.47%,4.82%,--,中低风险,15.54亿元
1587,003327,债券型,1.12%,7.98%,--,无,2.15亿元
1588,002962,债券型,0.49%,5.43%,--,中风险,0.00亿元
1589,002005,混合型,0.36%,3.89%,--,无,1.20亿元
1590,004344,股票指数,-2.20%,-5.58%,--,高风险,0.03亿元
1591,004522,混合型,-1.62%,4.18%,--,中高风险,0.02亿元
1592,003574,债券型,0.41%,4.76%,--,无,15.45亿元
1593,004555,债券型,0.68%,5.86%,--,中低风险,9.93亿元
1594,002969,债券型,1.24%,7.85%,--,中风险,47.55亿元
1595,003107,债券型,0.95%,4.50%,--,无,2.10亿元
1596,004706,债券型,0.36%,6.49%,--,中低风险,1.22亿元
1597,003825,债券型,0.46%,4.61%,--,中低风险,0.11亿元
1598,003494,混合型,2.21%,20.65%,--,中高风险,3.95亿元
1599,004409,股票型,3.61%,6.36%,--,无,0.01亿元
1600,004858,股票型,-1.42%,4.63%,--,无,0.00亿元
1601,003328,债券型,1.10%,7.77%,--,无,0.01亿元
1602,004556,债券型,0.58%,5.28%,--,中低风险,0.01亿元
1603,003223,债券型,0.38%,3.86%,--,无,41.05亿元
1604,003575,债券型,0.31%,3.08%,--,无,61.21亿元
1605,003108,债券型,0.93%,4.18%,--,无,0.00亿元
1606,003949,债券型,0.48%,4.93%,--,中低风险,33.14亿元
1607,004651,债券型,0.69%,1.81%,--,无,0.48亿元
1608,004865,货币型,0.17%,2.43%,--,低风险,1.27亿元
1609,004410,股票型,1.29%,12.30%,--,无,0.09亿元
1610,002838,混合型,-0.32%,1.07%,18.30%,无,5.13亿元
1611,004075,股票型,10.10%,28.49%,--,高风险,4.18亿元
1612,003329,债券型,0.59%,5.73%,--,无,157.14亿元
1613,003446,混合型,0.29%,7.55%,--,中高风险,1.06亿元
1614,003618,债券型,0.64%,6.31%,--,无,5.34亿元
1615,003384,债券型,0.50%,5.76%,--,中低风险,10.24亿元
1616,004077,货币型,0.16%,2.61%,--,低风险,0.24亿元
1617,000548,货币型,0.21%,2.56%,--,低风险,17.84亿元
1618,003447,混合型,-0.09%,7.71%,--,中高风险,0.00亿元
1619,519193,股票型,2.15%,30.38%,--,高风险,6.97亿元
1620,003330,债券型,0.57%,5.56%,--,无,0.00亿元
1621,004911,债券型,0.59%,4.55%,--,无,66.80亿元
1622,004141,债券型,0.68%,6.39%,--,无,31.91亿元
1623,003882,混合型,2.09%,14.82%,--,无,6.73亿元
1624,003619,债券型,0.62%,6.22%,--,无,0.00亿元
1625,002844,混合型,2.21%,22.14%,15.80%,中高风险,0.38亿元
1626,001657,混合型,1.15%,8.60%,--,中高风险,0.22亿元
1627,004166,混合型,1.95%,6.28%,--,无,3.33亿元
1628,003115,混合型,1.21%,7.72%,--,中高风险,0.79亿元
1629,003486,债券型,0.33%,5.14%,--,无,3.07亿元
1630,004912,债券型,0.00%,0.00%,--,无,0.00亿元
1631,003883,混合型,2.07%,14.76%,--,无,0.00亿元
1632,501026,混合型,2.47%,9.05%,--,中高风险,16.37亿元
1633,002586,债券型,0.27%,3.59%,--,中低风险,0.07亿元
1634,003116,混合型,1.16%,7.69%,--,中高风险,2.46亿元
1635,004192,股票指数,0.91%,4.18%,--,高风险,0.19亿元
1636,004284,混合型,1.81%,11.25%,--,中高风险,1.01亿元
1637,003622,股票型,-2.52%,16.30%,--,高风险,0.18亿元
1638,003501,混合型,-0.93%,8.76%,--,中高风险,1.10亿元
1639,003854,混合型,0.19%,0.85%,--,中高风险,23.00亿元
1640,004683,股票型,10.70%,10.57%,--,高风险,0.90亿元
1641,002587,债券型,0.28%,3.31%,--,中低风险,0.02亿元
1642,002952,股票型,0.46%,7.63%,-4.39%,高风险,0.35亿元
1643,003855,混合型,0.19%,2.25%,--,中高风险,0.00亿元
1644,004193,股票指数,0.88%,3.76%,--,高风险,0.36亿元
1645,004316,混合型,-2.89%,17.81%,--,中高风险,0.09亿元
1646,519208,债券型,0.62%,3.52%,--,中低风险,0.00亿元
1647,003623,股票型,-2.56%,16.71%,--,高风险,0.15亿元
1648,003610,混合型,0.97%,6.91%,--,中高风险,0.64亿元
1649,003513,混合型,0.46%,24.32%,--,中高风险,0.48亿元
1650,003986,股票指数,0.50%,13.96%,--,高风险,3.58亿元
1651,003658,混合型,4.46%,7.32%,--,中高风险,0.59亿元
1652,004202,混合型,0.11%,8.01%,--,无,3.64亿元
1653,004272,股票型,-1.74%,-0.98%,--,高风险,0.18亿元
1654,004317,混合型,-2.90%,17.70%,--,中高风险,0.08亿元
1655,003030,混合型,1.34%,9.74%,18.46%,中高风险,0.01亿元
1656,519209,债券型,0.60%,2.98%,--,中低风险,0.00亿元
1657,003611,混合型,0.93%,6.47%,--,中高风险,0.02亿元
1658,004149,混合型,0.86%,4.39%,--,中高风险,1.22亿元
1659,004100,混合型,0.47%,5.20%,--,中高风险,0.67亿元
1660,004273,股票型,-1.72%,-1.14%,--,高风险,0.02亿元
