,FundCode,类型,近1月收益,近1年收益,近3年收益,风险等级,基金规模
3244,002244,混合型,4.17%,11.12%,-10.11%,中高风险,1.24亿元
3245,000810,债券型,1.37%,-0.68%,5.77%,中风险,0.87亿元
3246,002345,混合型,0.41%,12.25%,-28.03%,中高风险,1.05亿元
3247,000998,债券型,0.37%,6.32%,2.15%,中低风险,0.05亿元
3248,001708,混合型,0.00%,1.64%,11.54%,中高风险,0.23亿元
3249,000812,债券型,1.31%,-1.12%,4.26%,中风险,0.12亿元
3250,001480,混合型,10.53%,49.73%,25.62%,中高风险,7.70亿元
3251,001605,股票型,2.24%,19.33%,31.31%,高风险,1.99亿元
3252,001162,股票型,8.50%,21.08%,35.72%,高风险,1.31亿元
3253,001257,债券型,0.81%,7.12%,14.18%,中风险,0.47亿元
3254,001507,混合型,-0.08%,8.42%,16.01%,无,0.13亿元
3255,001015,股票指数,-1.45%,13.97%,23.21%,高风险,5.25亿元
3256,000803,股票型,1.27%,9.85%,3.82%,高风险,0.53亿元
3257,002334,股票型,-1.65%,7.84%,15.30%,高风险,0.64亿元
3258,002483,债券型,0.94%,9.44%,14.85%,无,4.21亿元
3259,001712,混合型,-0.99%,8.48%,40.38%,中高风险,18.13亿元
3260,502036,股票指数,1.36%,12.22%,-16.65%,高风险,0.54亿元
3261,001171,股票型,5.54%,14.51%,30.36%,高风险,9.88亿元
3262,160222,股票指数,1.26%,41.12%,104.25%,高风险,19.49亿元
3263,001570,混合型,0.62%,7.29%,10.00%,中高风险,4.29亿元
3264,001877,股票型,1.44%,6.53%,-28.98%,高风险,0.65亿元
3265,001258,债券型,0.74%,6.73%,12.43%,中风险,0.35亿元
3266,001016,股票指数,-1.48%,13.40%,21.39%,高风险,2.16亿元
3267,001352,混合型,-0.08%,9.48%,23.75%,中高风险,1.43亿元
3268,002584,混合型,-0.88%,5.87%,4.55%,中高风险,0.09亿元
3269,002335,股票型,-1.69%,7.34%,14.01%,高风险,0.10亿元
3270,001188,股票型,1.97%,20.08%,15.19%,高风险,13.28亿元
3271,001751,债券型,0.79%,2.07%,-16.15%,中风险,0.10亿元
3272,001312,混合型,-0.33%,0.44%,-10.99%,中高风险,0.41亿元
3273,001437,混合型,4.48%,2.11%,5.96%,中高风险,1.05亿元
3274,001580,混合型,0.62%,7.29%,10.00%,无,0.71亿元
3275,000793,股票型,-0.86%,5.48%,-21.02%,高风险,6.33亿元
3276,002259,混合型,6.19%,11.48%,29.26%,中高风险,0.75亿元
3277,000967,混合型,3.83%,12.27%,39.28%,中高风险,1.33亿元
3278,002636,债券型,2.42%,9.74%,14.85%,无,0.75亿元
3279,002336,债券型,0.63%,5.86%,10.55%,中低风险,31.39亿元
3280,001201,混合型,0.09%,5.72%,9.75%,中高风险,0.03亿元
3281,001438,混合型,4.43%,1.84%,5.23%,中高风险,0.66亿元
3282,169103,混合型,-1.86%,8.31%,48.51%,中高风险,31.47亿元
3283,001336,混合型,1.71%,9.19%,14.27%,中高风险,0.08亿元
3284,001993,债券型,0.62%,6.26%,11.78%,中低风险,10.64亿元
3285,002637,债券型,2.37%,9.06%,13.62%,无,0.02亿元
3286,000969,混合型,3.56%,7.92%,-8.11%,中高风险,2.38亿元
3287,001752,债券型,0.69%,1.63%,-17.17%,中风险,0.03亿元
3288,002367,混合型,2.07%,10.19%,-2.88%,中高风险,0.99亿元
3289,001463,混合型,5.01%,2.71%,-4.44%,中高风险,4.75亿元
3290,001228,混合型,0.93%,9.58%,-1.20%,中高风险,1.18亿元
3291,000848,货币型,0.21%,2.94%,11.02%,无,896.18亿元
3292,001337,混合型,1.68%,9.10%,13.75%,中高风险,6.82亿元
3293,000497,债券型,0.70%,5.72%,9.84%,无,5.20亿元
3294,002015,混合型,0.43%,5.63%,11.71%,中高风险,6.61亿元
3295,000992,混合型,8.40%,12.41%,12.12%,中低风险,5.46亿元
3296,002420,混合型,1.34%,12.53%,18.59%,中高风险,3.81亿元
3297,002794,债券型,-0.93%,9.95%,9.18%,中风险,0.09亿元
3298,001247,混合型,-0.88%,1.69%,9.62%,中高风险,1.46亿元
3299,001682,混合型,4.90%,18.78%,6.11%,中高风险,0.87亿元
3300,002354,债券型,1.20%,7.20%,14.67%,中低风险,4.09亿元
3301,000847,货币型,0.21%,2.65%,10.20%,低风险,1.46亿元
3302,002016,混合型,0.43%,5.63%,11.92%,无,0.01亿元
3303,001526,货币型,0.22%,3.05%,8.92%,无,51.22亿元
3304,519642,混合型,8.76%,16.74%,32.91%,中高风险,0.87亿元
3305,001342,混合型,0.78%,10.39%,23.91%,无,3.47亿元
3306,002655,混合型,1.65%,6.67%,9.72%,中低风险,1.13亿元
3307,000620,货币型,0.22%,3.07%,11.76%,无,4.58亿元
3308,001797,混合型,0.32%,4.24%,-9.76%,中高风险,0.09亿元
3309,002054,混合型,0.95%,12.07%,23.49%,中高风险,0.06亿元
3310,002360,混合型,2.57%,43.89%,53.83%,中高风险,2.74亿元
3311,001527,货币型,0.19%,2.80%,10.43%,低风险,5.46亿元
3312,673040,混合型,1.82%,13.94%,17.52%,中高风险,0.44亿元
3313,002056,混合型,0.76%,11.64%,22.36%,中高风险,4.11亿元
3314,001229,混合型,-1.62%,-12.29%,-10.57%,中高风险,0.02亿元
3315,519878,货币型,0.16%,2.04%,8.62%,无,3.22亿元
3316,001343,混合型,0.75%,10.09%,22.86%,无,0.16亿元
3317,002661,债券型,0.79%,5.80%,7.99%,无,20.01亿元
3318,001535,混合型,0.21%,1.15%,-1.52%,中高风险,0.42亿元
3319,002132,混合型,2.13%,3.75%,-7.12%,无,1.28亿元
3320,000621,货币型,0.24%,3.32%,12.57%,无,294.44亿元
3321,002057,混合型,1.41%,11.35%,23.93%,中高风险,4.86亿元
3322,164907,股票指数,0.95%,10.24%,-19.27%,高风险,0.87亿元
3323,001358,混合型,0.96%,9.91%,9.39%,中高风险,3.10亿元
3324,002461,混合型,1.32%,11.15%,22.70%,中高风险,4.94亿元
3325,001039,股票型,6.90%,17.42%,10.93%,高风险,13.20亿元
3326,002698,债券型,0.39%,5.54%,11.64%,中低风险,60.67亿元
3327,000836,货币型,0.24%,3.18%,12.10%,低风险,16.37亿元
3328,161222,混合型,2.20%,9.58%,20.62%,中高风险,1.67亿元
3329,001626,股票型,-0.57%,15.10%,26.38%,高风险,1.84亿元
3330,002175,债券型,0.47%,4.71%,10.87%,中低风险,16.62亿元
3331,002058,混合型,1.32%,11.14%,23.49%,中高风险,0.13亿元
3332,165523,股票指数,2.01%,9.85%,-18.59%,高风险,1.45亿元
3333,001072,股票型,5.85%,19.23%,15.76%,高风险,7.43亿元
3334,000767,混合型,6.10%,10.59%,7.63%,中高风险,0.92亿元
3335,001370,混合型,3.00%,12.96%,19.04%,中高风险,3.03亿元
3336,000837,货币型,0.24%,3.18%,12.10%,低风险,2.42亿元
3337,002753,货币型,0.24%,3.44%,12.17%,无,0.05亿元
3338,002462,混合型,1.32%,11.65%,23.15%,中高风险,0.04亿元
3339,002079,混合型,6.51%,58.09%,37.73%,中高风险,2.78亿元
3340,002304,混合型,-1.39%,0.40%,2.28%,中高风险,1.88亿元
3341,000978,股票型,-1.06%,-1.14%,-5.28%,高风险,33.93亿元
3342,001672,股票型,-0.39%,1.09%,4.15%,高风险,3.21亿元
3343,165524,股票指数,4.57%,8.51%,-25.52%,高风险,0.41亿元
3344,001113,股票指数,-2.16%,-5.20%,-33.92%,高风险,29.83亿元
3345,002770,混合型,5.00%,47.80%,59.81%,中高风险,0.33亿元
3346,000814,债券型,0.12%,2.93%,11.81%,中低风险,0.03亿元
3347,160640,股票指数,-1.00%,8.38%,-21.19%,高风险,0.34亿元
3348,002513,混合型,0.97%,14.46%,16.84%,中高风险,0.07亿元
3349,002082,混合型,7.18%,15.55%,48.59%,无,0.00亿元
3350,001834,混合型,-0.40%,-0.70%,-0.70%,中高风险,0.00亿元
3351,168001,股票指数,2.09%,-11.29%,-25.00%,高风险,0.60亿元
3352,000189,债券型,2.12%,4.35%,10.91%,中风险,1.89亿元
3353,001026,货币型,0.19%,2.97%,10.81%,无,0.01亿元
3354,002771,混合型,4.99%,47.53%,58.62%,中高风险,0.75亿元
3355,001231,混合型,6.56%,25.98%,35.69%,中高风险,0.38亿元
3356,502013,股票指数,-5.65%,0.65%,-0.15%,高风险,7.38亿元
3357,000832,货币型,0.21%,2.66%,10.04%,无,3.41亿元
3358,002087,混合型,1.46%,10.64%,18.08%,中高风险,2.76亿元
3359,002341,债券型,0.62%,5.91%,16.22%,无,0.11亿元
3360,001086,债券型,0.57%,-0.19%,2.99%,中风险,2.12亿元
3361,001990,混合型,4.32%,16.10%,6.49%,中高风险,0.88亿元
3362,519975,股票型,2.16%,-0.53%,-30.02%,高风险,8.83亿元
3363,000917,货币型,0.22%,2.98%,11.14%,低风险,516.41亿元
