,FundCode,类型
1225,1926,货币型
1228,1929,货币型
1229,1930,货币型
1230,1931,货币型
1233,1937,货币型
1259,1973,货币型
1265,1981,货币型
1266,1982,货币型
1270,1987,货币型
1274,1991,货币型
1275,1992,货币型
1331,2077,货币型
1332,2078,货币型
1403,2183,货币型
1404,2184,货币型
1405,2185,货币型
1413,2195,货币型
1417,2200,货币型
1418,2201,货币型
1419,2202,货币型
1438,2234,货币型
1439,2235,货币型
1440,2243,货币型
1444,2247,货币型
1445,2248,货币型
1452,2260,货币型
1477,2298,货币型
1478,2299,货币型
1481,2302,货币型
1488,2318,货币型
1492,2324,货币型
1493,2325,货币型
1585,2469,货币型
1628,2546,货币型
1692,2646,货币型
1693,2647,货币型
1710,2672,货币型
1711,2673,货币型
1712,2679,货币型
1713,2680,货币型
1731,2709,货币型
1732,2710,货币型
1741,2722,货币型
1747,2733,货币型
1758,2747,货币型
1759,2748,货币型
1761,2753,货币型
1764,2758,货币型
1765,2759,货币型
1766,2760,货币型
1787,2788,货币型
1810,2828,货币型
1811,2829,货币型
1821,2847,货币型
1825,2852,货币型
1826,2855,货币型
1839,2883,货币型
1840,2884,货币型
1842,2889,货币型
1843,2890,货币型
1844,2894,货币型
1845,2895,货币型
1851,2912,货币型
1853,2917,货币型
1854,2918,货币型
1866,2936,货币型
1867,2937,货币型
1874,2957,货币型
1875,2958,货币型
1877,2960,货币型
1900,3003,货币型
1906,3022,货币型
1917,3034,货币型
1923,3042,货币型
1924,3043,货币型
1937,3075,货币型
1983,3164,货币型
1990,3171,货币型
2000,3185,货币型
2013,3206,货币型
2029,3228,货币型
2030,3229,货币型
2042,3246,货币型
2043,3252,货币型
2044,3253,货币型
2050,3264,货币型
2053,3267,货币型
2059,3281,货币型
2085,3316,货币型
2086,3317,货币型
2113,3363,货币型
2114,3364,货币型
2115,3365,货币型
2128,3388,货币型
2129,3389,货币型
2130,3391,货币型
2131,3392,货币型
2132,3393,货币型
2136,3398,货币型
2137,3399,货币型
2139,3402,货币型
2153,3422,货币型
2154,3423,货币型
2172,3460,货币型
2174,3465,货币型
2175,3467,货币型
2176,3468,货币型
2177,3473,货币型
2178,3474,货币型
2181,3478,货币型
2182,3479,货币型
2183,3480,货币型
2184,3481,货币型
2185,3482,货币型
2186,3483,货币型
2211,3515,货币型
2218,3525,货币型
2220,3534,货币型
2221,3535,货币型
2222,3536,货币型
2223,3537,货币型
2224,3538,货币型
2225,3539,货币型
2247,3585,货币型
2250,3588,货币型
2251,3589,货币型
2298,3678,货币型
2299,3679,货币型
2311,3711,货币型
2312,3712,货币型
2331,3752,货币型
2332,3753,货币型
2343,3792,货币型
2396,3871,货币型
2397,3874,货币型
2398,3875,货币型
2428,3968,货币型
2429,3969,货币型
2437,3994,货币型
2438,3997,货币型
2439,3998,货币型
2454,4039,货币型
2466,4056,货币型
2468,4060,货币型
2472,4072,货币型
2473,4073,货币型
2476,4077,货币型
2477,4078,货币型
2489,4097,货币型
2506,4120,货币型
2507,4121,货币型
2516,4133,货币型
2519,4137,货币型
2530,4151,货币型
2531,4152,货币型
2539,4167,货币型
2541,4169,货币型
2542,4170,货币型
2545,4173,货币型
2549,4178,货币型
2550,4179,货币型
2552,4185,货币型
2553,4186,货币型
2555,4198,货币型
2556,4199,货币型
2558,4201,货币型
2563,4210,货币型
2566,4216,货币型
2567,4217,货币型
2594,4251,货币型
2599,4261,货币型
2600,4262,货币型
2615,4282,货币型
2632,4330,货币型
2633,4331,货币型
2651,4368,货币型
2652,4369,货币型
2653,4372,货币型
2654,4373,货币型
2663,4398,货币型
2664,4399,货币型
2673,4417,货币型
2689,4449,货币型
2712,4493,货币型
2713,4494,货币型
2718,4501,货币型
2719,4502,货币型
2732,4545,货币型
2738,4553,货币型
2739,4554,货币型
2747,4568,货币型
2755,4589,货币型
2798,4684,货币型
2809,4699,货币型
2810,4700,货币型
2811,4701,货币型
2819,4717,货币型
2820,4718,货币型
2841,4749,货币型
2848,4770,货币型
2849,4771,货币型
2854,4776,货币型
2859,4786,货币型
2860,4787,货币型
2865,4796,货币型
2874,4811,货币型
2893,4841,货币型
2897,4849,货币型
2902,4860,货币型
2903,4861,货币型
2904,4862,货币型
2905,4863,货币型
2906,4865,货币型
2907,4866,货币型
2909,4869,货币型
2919,4896,货币型
2925,4903,货币型
2926,4904,货币型
2946,4938,货币型
2947,4939,货币型
2965,4967,货币型
2966,4968,货币型
2967,4970,货币型
2968,4971,货币型
2969,4972,货币型
2970,4973,货币型
2974,4983,货币型
2975,4984,货币型
2976,4985,货币型
2997,5016,货币型
2998,5017,货币型
3000,5020,货币型
3025,5056,货币型
3026,5057,货币型
3027,5058,货币型
3030,5065,货币型
3047,5092,货币型
3051,5097,货币型
3052,5098,货币型
3056,5107,货币型
3066,5122,货币型
3071,5134,货币型
3072,5135,货币型
3083,5148,货币型
3084,5150,货币型
3085,5151,货币型
3086,5153,货币型
3090,5162,货币型
3111,5194,货币型
3116,5202,货币型
3126,5230,货币型
4316,7521,货币型
4317,7522,货币型
4336,7696,货币型
4345,20007,货币型
4356,20031,货币型
4357,20032,货币型
4361,40003,货币型
4382,40038,货币型
4383,40039,货币型
4387,41003,货币型
4389,50003,货币型
4417,70008,货币型
4433,70028,货币型
4434,70029,货币型
4438,70088,货币型
4446,80011,货币型
4453,90005,货币型
4465,90022,货币型
4466,91005,货币型
4467,91022,货币型
4473,100025,货币型
4475,100028,货币型
4486,110006,货币型
4495,110016,货币型
4518,121011,货币型
4520,128011,货币型
4522,150005,货币型
4523,150015,货币型
4526,150988,货币型
4527,150998,货币型
4530,159001,货币型
4531,159002,货币型
4532,159003,货币型
4533,159004,货币型
4534,159005,货币型
4535,159006,货币型
4568,160606,货币型
